University,Latitude,Longitude,Address
Azim Premji University,12.844003,77.77568396,"Azim Premji University, SH35, Sarjapura, Anekal, Bengaluru Urban, Karnataka, 562125, India"
Azim Premji University,12.844003,77.77568396,"Azim Premji University, SH35, Sarjapura, Anekal, Bengaluru Urban, Karnataka, 562125, India"
Baba Farid University of Health Sciences,30.6836576,74.7348714,"Baba Farid University of Health Sciences, MDR46, Faridkot, Faridkot Tahsil, Faridkot, Punjab, 151200, India"
Baba Ghulam Shah Badshah University,33.39463555,74.34584264,"Baba Ghulam Shah Badshah University, BGSB University, Rajouri, Rajauri, Rajouri, Jammu and Kashmir, 185131, India"
Babasaheb Bhimrao Ambedkar Bihar University,26.1099745,85.3770347,"Babasaheb Bhimrao Ambedkar Bihar University, NH22, Muzaffarpur, Musahri, Muzaffarpur, Bihar, 842001, India"
Babasaheb Bhimrao Ambedkar University,26.76943095,80.92559022,"Babasaheb Bhimrao Ambedkar University, kanpur Road, Transport Nagar, Aurangabad, Lucknow, Uttar Pradesh, 226012, India"
Babu Banarasi Das University,26.888806,81.0589205,"Babu Banarasi Das University, फ़ैज़ाबाद रोड, Uttardhauna, Tiwariganj, Lucknow, Uttar Pradesh, 226028, India"
Baddi University of Emerging Sciences & Technology,30.9520107,76.78233035,"Baddi University of Emerging Sciences and Technology, NH105, Baddi, Solan, Himachal Pradesh, 173205, India"
Bahra University,30.78115575,76.61765661,"Rayat-Bahra University, NH205, Lakhnaur, Kharar Tahsil, Sahibzada Ajit Singh Nagar, Punjab, 140104, India"
Banaras Hindu University,25.2663747,82.9904648,"Banaras Hindu University, Civil Engineering Road, Kabir Colony, Varanasi, Sadar, Varanasi, Uttar Pradesh, 221005, India"
Banda University of Agriculture & Technology,25.5297341,80.33488505,"Banda University of Agriculture and Technology, Bypass Road, Mawai, Banda, Uttar Pradesh, India"
Bangalore University,12.94393425,77.50918054,"Bangalore University, University Road, Further Extension, Mallathahalli, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560056, India"
Bengaluru City University,12.97483375,77.58065473,"Bengaluru City University, Old Post Office Road, Gandhinagar, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India"
Bengaluru Dr. B. R. Ambedkar School of Economics University,12.94945565,77.51710056,"Dr. B. R. Ambedkar School of Economics University, Bengaluru, NLSIU Road, Teacher's Colony, Chandra Layout, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560056, India"
Bengaluru North University,12.95056825,77.50028146,"Bengaluru University Police Station, University Road, Mallathahalli, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560056, India"
Bennett University,28.45061085,77.58391182,"Bennett University, Delhi Eastern Peripheral Expressway, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India"
Berhampur University,19.2992205,84.88158613,"Berhampur University, Berhampur University (internal Routes), Badapur, Rangeilunda, Ganjam, Odisha, 760007, India"
Bhabha University,19.0337334,72.92559826,"Homi Bhabha National Institute, 2nd floor, BARC Training School Complex, Anushaktinagar, Mumbai, Maharashtra 400094, Vaigyanik Marg, Anushakti Nagar, M/E Ward, Zone 5, Mumbai Suburban, Maharashtra, 400094, India"
Bhagat Phool Singh Mahila Vishwavidyalaya,29.1537763,76.80487581,"भगत फूल सिंह महिला विश्वविद्यालय, Khanpur Kalan, Gohana, Sonipat, Haryana, 131305, India"
Bharath Institute of Higher Education & Research,12.90806315,80.14014109,"Bharath Institute of Higher Education and Research, MGR Nagar Main Street, Madambakkam, Balaji Nagar, Tambaram, Chengalpattu, Tamil Nadu, 600013, India"
Bharathidasan University,10.67566,78.74201488,"Bharathidasan University, Pudukottai Road, Mathur, Thiruverumbur, Tiruchirappalli, Tamil Nadu, 620024, India"
Bharati Vidyapeeth,18.51361895,73.81993734,"Bharati Vidyapeeth, Admiral Somnath Path, Sigma One, Kothrud, Pune City, Pune, Maharashtra, 411038, India"
Bhupendra Narayan Mandal University,25.9366042,86.79437266,"Bhupendra Narayan Mandal University, NH131, Madhepura, Bihar, 852113, India"
Bihar Agricultural University,25.2383952,87.05065963,"Bihar Agricultural University, NH33, Sabour, Bhagalpur, Bihar, India"
Biju Patnaik University of Technology,22.2459907,84.81726583,"Biju Patnaik University of Technology, Ring Road, Chhend, Rourkela, Sundargarh, Odisha, 769003, India"
Birla Institute of Technology,23.41756945,85.43940937,"Birla Institute of Technology, Ranchi Bypass, Kanke, Ranchi, Jharkhand, 835215, India"
Birla Institute of Technology & Science,28.35866475,75.58825578,"Birla Institute of Technology and Science - BITS, Gandhi Marg, Pilani, Surajgarh Tehsil, Jhunjhunu, Rajasthan, 333031, India"
Birsa Agricultural University,23.4315118,85.30772485,"Birsa Agricultural University, SH2, Ranchi, Kanke, Ranchi, Jharkhand, 834006, India"
Biswa Bangla Biswabidyalay,23.6394895,87.6786949,"Biswa Bangla Biswabidyalay, NH114, Bolpur Sriniketan, Birbhum, West Bengal, 731204, India"
Bodoland University,26.4698215,90.296965,"Bodoland University, NH117A, Karigaon, Kokrajhar, Assam, India"
Brainware University,22.73175235,88.49904425,"Brainware University, 398, Barasat - Petrapole Highway, Champadali, Barasat, Barasat - I, North 24 Parganas, West Bengal, 700125, India"
Bundelkhand University,25.4530538,78.609738,"Bundelkhand University, NH39, Shivaji Nagar, Jhansi, Uttar Pradesh, 284128, India"
Burdwan University,23.249952,87.84544069,"University of Burdwan - Golapbag Campus, University Road, Golapbag, Bardhaman, Burdwan - I, Purba Bardhaman, West Bengal, 713102, India"
C. U. Shah University,22.74913,71.70276549,"C U Shah University, C U Shah University Road, Kothariya, Wadhwan Taluka, Surendranagar, Gujarat, 363030, India"
Calcutta University,22.48473255,88.34475274,"Calcutta Institute of Engineering and Management, Mahendra Seth Lane, Paschim Putiary, Ashok Nagar, Kolkata, West Bengal, 700041, India"
Calicut University,11.13637895,75.89055308,"University of Calicut, Calicut University - Kadakkattupara Road, Villoonniyal, Thenhipalam, Tirurangadi, Malappuram, Kerala, 673635, India"
Capital University,8.5237709,76.9452618,"Central University of Kerala Capital centre, TKD Road, Plamood, Mankulam, Thiruvananthapuram, Kerala, 695001, India"
Central Agricultural University,24.8130066,93.89038729,"Central Agricultural University, Imphal, Tera-Naoremthong Road, Imphal, Lamphelpat, Imphal West, Manipur, 795001, India"
Central Institute of Fisheries Education,19.1394164,72.81640136,"Central Institute of Fisheries Education, Mumbai Coastal Road - Phase II, Mandar Apartments, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra, 400061, India"
Central Sanskrit University,30.1415366,78.59922176,"Central Sanskrit University, NH7, Shanti Bazaar, Devprayag, Tehri Garhwal, Uttarakhand, 249301, India"
Central University of Gujarat,23.2451809,72.6619837,"Central University of Gujarat, GH Road, Sector 28, Gandhinagar, Gandhinagar Taluka, Gandhinagar, Gujarat, 382028, India"
Central University of Jharkhand,23.44217775,85.14552768,"Central University of Jharkhand, NH39, Mandar, Ranchi, Jharkhand, 835205, India"
Central University of Karnataka,17.4316166,76.67178613,"Central University of Karnataka, SH10, Keri Bhosaga, Alanda taluku, Kalaburagi, Karnataka, India"
Central University of Kerala,12.39316345,75.09234787,"Central University Of Kerala, Kasargod-Kannur-Calicut Highway, Colony,Karakkakund, Aayampara, Periya, Hosdurg, Kasaragod, Kerala, 671320, India"
Central University of Punjab,30.1401932,74.7909105,"Central University of Punjab, ODR13, Ghudda, Bathinda Tahsil, Bathinda, Punjab, India"
Central University of Rajasthan,26.6276045,75.02880205,"Central University of Rajasthan, Jaipur Kishangarh Expressway, Dantri, Kishangarh Tehsil, Ajmer, Rajasthan, 305817, India"
Central University of Tamil Nadu,10.8125257,79.61116665,"Central University of Tamil Nadu, CUTN library road, Karunagaranalur, Neelakudi, Nannilam, Thiruvarur, Tamil Nadu, 610104, India"
Centurion University of Technology and Management,20.17524335,85.70674393,"Centurion University of Technology and Management, Aryabhatta to cafeteria, Jatani, Khordha, Odisha, 752050, India"
Chaitanya,19.1717529,72.88187731,"Chaitanya, Nagri Niwara Parishad Plot 5, Nagari Niwara Colony, P/N Ward, Zone 4, Mumbai Suburban, Maharashtra, 400065, India"
Chanakya National Law University,25.59465255,85.13354205,"Chanakya National Law University, Purendarpur Road, Patna, Patna Rural, Patna, Bihar, 800001, India"
Chanakya University,13.2246581,77.75702489,"Chanakya University, Dabaspete - Hosur Highway, Haralur, Channahalli, Devanahalli taluku, Bengaluru Rural, Karnataka, 562129, India"
Chandigarh University,30.76863985,76.5750483,"Chandigarh University, Ludhiana-Chandigarh Highway, Lahra, Gharuan, Kharar Tahsil, Sahibzada Ajit Singh Nagar, Punjab, 140413, India"
Chandra Shekhar Azad University of Agriculture & Technology,26.49014445,80.30111143,"Chandra Shekhar Azad University of Agriculture and Technology, NH34, Kanpur, Kanpur Nagar, Uttar Pradesh, 208025, India"
Chaudhary Bansi Lal University,28.8133324,76.1273721,"Chaudhary Bansi Lal University, NH148B;709A, Bhiwani, Haryana, 127021, India"
Chaudhary Charan Singh University,28.967017,77.7388619,"Chaudhary Charan Singh University, CCS University Road, Meerut, Uttar Pradesh, 250001, India"
Chaudhary Devi Lal University,29.54766675,75.04316363,"Chaudhary Devi Lal University, SH23, Sirsa, Haryana, 125055, India"
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,32.097918,76.54343028,"CSK Himachal Pradesh Agricultural University, SH17, Nihang, Palampur, Kangra, Himachal Pradesh, 176061, India"
Chennai Mathematical Institute,12.82827285,80.22039265,"Chennai Mathematical Institute, First main road, SIPCOT Siruseri, Siruseri, Tiruporur, Chengalpattu, Tamil Nadu, 603103, India"
